Player,Team,Age,"Total
Value",Avg./Year,"Total
Guaranteed","Fully
Guaranteed","Free
Agency"
Dorian Thompson-Robinson,Browns,26,"$4,182,268","$1,045,567","$342,268","$342,268",2027 UFA
Jake Fromm,Lions,27,"$1,030,000","$1,030,000",$0,$0,2026 RFA
Ben DiNucci,Saints,29,"$1,030,000","$1,030,000",$0,$0,2026 ERFA
Shane Buechele,Bills,27,"$1,030,000","$1,030,000",$0,$0,2026 UFA
Tanner McKee,Eagles,25,"$4,026,520","$1,006,630","$186,520","$186,520",2027 UFA
Sam Howell,Seahawks,25,"$4,021,600","$1,005,400","$361,600","$361,600",2026 UFA
Bailey Zappe,Browns,26,"$985,000","$985,000",$0,$0,2025 RFA
Desmond Ridder,Raiders,26,"$985,000","$985,000",$0,$0,2025 RFA
Feleipe Franks,Panthers,28,"$985,000","$985,000",$0,$0,2025 UFA
Jaren Hall,Seahawks,27,"$1,945,000","$972,500",$0,$0,2026 ERFA
Jake Browning,Bengals,29,"$1,945,000","$972,500",$0,$0,2026 RFA
Malik Cunningham,Ravens,27,"$960,000","$960,000",$0,$0,2026 ERFA
Sam Hartman,Commanders,26,"$960,000","$960,000",$0,$0,2026 ERFA
Sean Clifford,Packers,27,"$1,875,000","$937,500",$0,$0,2026 RFA
Brock Purdy,49ers,26,"$3,737,012","$934,253","$77,012","$77,012",2026 UFA
Adrian Martinez,Jets,25,"$1,845,000","$922,500",$0,$0,2027 ERFA
Tyson Bagent,Bears,25,"$2,720,000","$906,667","$25,000","$25,000",2026 RFA
Sam Ehlinger,Colts,27,"$3,610,704","$902,676","$130,704","$130,704",2025 UFA
Jack Plummer,Panthers,26,"$1,755,000","$877,500",$0,$0,2026 ERFA
Carter Bradley,Raiders,25,"$1,755,000","$877,500",$0,$0,2026 ERFA
Jason Bean,Colts,26,"$840,000","$840,000",$0,$0,2026 ERFA
Emory Jones,Falcons,25,"$840,000","$840,000",$0,$0,2026 ERFA
Austin Reed,Bears,25,"$840,000","$840,000",$0,$0,2026 ERFA
Kedon Slovis,Texans,24,"$840,000","$840,000",$0,$0,2026 ERFA
Tanner Mordecai,49ers,26,"$840,000","$840,000",$0,$0,2026 ERFA
Devin Leary,Ravens,26,"$840,000","$840,000",$0,$0,2026 ERFA
Tommy DeVito,Giants,27,"$1,665,000","$832,500",$0,$0,2025 ERFA
John Rhys Plumlee,Seahawks,24,"$1,635,000","$817,500",$0,$0,2026 ERFA
Chris Oladokun,Chiefs,28,"$225,000","$225,000",$0,$0,2025 SFA
Ian Book,Eagles,27,"$225,000","$225,000",$0,$0,2025 SFA
